Planning Area,Subzone,Age Group,Population
Ang Mo Kio,Ang Mo Kio Town Centre,Total,"4,850"
Ang Mo Kio,Ang Mo Kio Town Centre,Total,"2,750"
Ang Mo Kio,Ang Mo Kio Town Centre,Total,-
Ang Mo Kio,Ang Mo Kio Town Centre,Total,370
Ang Mo Kio,Ang Mo Kio Town Centre,Total,600
Ang Mo Kio,Ang Mo Kio Town Centre,Total,"1,790"
Ang Mo Kio,Ang Mo Kio Town Centre,Total,"2,070"
Ang Mo Kio,Ang Mo Kio Town Centre,Total,-
Ang Mo Kio,Ang Mo Kio Town Centre,Total,30
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,130
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,70
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,-
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,10
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,20
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,40
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,60
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,-
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,-
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,230
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,90
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,-
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,10
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,20
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,60
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,140
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,-
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,-
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,280
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,140
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,-
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,20
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,30
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,90
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,150
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,-
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,-
Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,290
Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,140
Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,-
Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,10
Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,40
Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,90
Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,150
Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,-
Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,-
Ang Mo Kio,Ang Mo Kio Town Centre,20 - 24,270
Ang Mo Kio,Ang Mo Kio Town Centre,20 - 24,120
Ang Mo Kio,Ang Mo Kio Town Centre,20 - 24,-
