Planning Area,Subzone,Age Group,Sex,Type of Dwelling,Population
Ang Mo Kio,Ang Mo Kio Town Centre,Total,Total,Total,4850
Ang Mo Kio,Ang Mo Kio Town Centre,Total,Total,Total HDB,2750
Ang Mo Kio,Ang Mo Kio Town Centre,Total,Total,1- and 2-Room Flats,-
Ang Mo Kio,Ang Mo Kio Town Centre,Total,Total,3-Room Flats,370
Ang Mo Kio,Ang Mo Kio Town Centre,Total,Total,4-Room Flats,600
Ang Mo Kio,Ang Mo Kio Town Centre,Total,Total,5-Room and Executive Flats,1790
Ang Mo Kio,Ang Mo Kio Town Centre,Total,Total,Condominiums and Other Apartments,2070
Ang Mo Kio,Ang Mo Kio Town Centre,Total,Total,Landed Properties,-
Ang Mo Kio,Ang Mo Kio Town Centre,Total,Total,Others,30
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,Total,Total,130
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,Total,Total HDB,70
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,Total,1- and 2-Room Flats,-
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,Total,3-Room Flats,10
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,Total,4-Room Flats,20
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,Total,5-Room and Executive Flats,40
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,Total,Condominiums and Other Apartments,60
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,Total,Landed Properties,-
Ang Mo Kio,Ang Mo Kio Town Centre,0 - 4,Total,Others,-
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,Total,Total,230
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,Total,Total HDB,90
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,Total,1- and 2-Room Flats,-
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,Total,3-Room Flats,10
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,Total,4-Room Flats,20
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,Total,5-Room and Executive Flats,60
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,Total,Condominiums and Other Apartments,140
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,Total,Landed Properties,-
Ang Mo Kio,Ang Mo Kio Town Centre,5 - 9,Total,Others,-
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,Total,Total,280
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,Total,Total HDB,140
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,Total,1- and 2-Room Flats,-
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,Total,3-Room Flats,20
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,Total,4-Room Flats,30
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,Total,5-Room and Executive Flats,90
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,Total,Condominiums and Other Apartments,150
Ang Mo Kio,Ang Mo Kio Town Centre,10 - 14,Total,Landed Properties,-
