Planning Area,AGE,Population
ANG MO KIO TOWN CENTRE,0 - 4 years,170
CHENG SAN,0 - 4 years,1060
CHONG BOON,0 - 4 years,860
KEBUN BAHRU,0 - 4 years,660
SEMBAWANG HILLS,0 - 4 years,210
SHANGRI-LA,0 - 4 years,550
TAGORE,0 - 4 years,210
TOWNSVILLE,0 - 4 years,660
YIO CHU KANG,0 - 4 years,-
YIO CHU KANG EAST,0 - 4 years,160
YIO CHU KANG NORTH,0 - 4 years,-
YIO CHU KANG WEST,0 - 4 years,750
BAYSHORE,0 - 4 years,340
BEDOK NORTH,0 - 4 years,2710
BEDOK RESERVOIR,0 - 4 years,1100
BEDOK SOUTH,0 - 4 years,1430
FRANKEL,0 - 4 years,1460
KAKI BUKIT,0 - 4 years,1200
KEMBANGAN,0 - 4 years,1410
SIGLAP,0 - 4 years,160
BISHAN EAST,0 - 4 years,870
MARYMOUNT,0 - 4 years,1010
UPPER THOMSON,0 - 4 years,910
LIU FANG,0 - 4 years,-
SAMULUN,0 - 4 years,-
SHIPYARD,0 - 4 years,-
TUKANG,0 - 4 years,-
BRICKWORKS,0 - 4 years,2710
BUKIT BATOK CENTRAL,0 - 4 years,1310
BUKIT BATOK EAST,0 - 4 years,340
BUKIT BATOK SOUTH,0 - 4 years,690
BUKIT BATOK WEST,0 - 4 years,660
GOMBAK,0 - 4 years,350
GUILIN,0 - 4 years,430
HILLVIEW,0 - 4 years,560
HONG KAH NORTH,0 - 4 years,870
ALEXANDRA HILL,0 - 4 years,370
ALEXANDRA NORTH,0 - 4 years,160
BUKIT HO SWEE,0 - 4 years,460
BUKIT MERAH,0 - 4 years,30
CITY TERMINALS,0 - 4 years,-
DEPOT ROAD,0 - 4 years,350
EVERTON PARK,0 - 4 years,220
HENDERSON HILL,0 - 4 years,440
KAMPONG TIONG BAHRU,0 - 4 years,220
MARITIME SQUARE,0 - 4 years,200
REDHILL,0 - 4 years,490
SINGAPORE GENERAL HOSPITAL,0 - 4 years,-
TELOK BLANGAH DRIVE,0 - 4 years,1190
TELOK BLANGAH RISE,0 - 4 years,350
TELOK BLANGAH WAY,0 - 4 years,240
TIONG BAHRU,0 - 4 years,690
TIONG BAHRU STATION,0 - 4 years,560
BANGKIT,0 - 4 years,680
DAIRY FARM,0 - 4 years,310
FAJAR,0 - 4 years,1530
JELEBU,0 - 4 years,930
NATURE RESERVE,0 - 4 years,150
SAUJANA,0 - 4 years,1520
SENJA,0 - 4 years,1130
ANAK BUKIT,0 - 4 years,700
CORONATION ROAD,0 - 4 years,300
FARRER COURT,0 - 4 years,300
HILLCREST,0 - 4 years,440
HOLLAND ROAD,0 - 4 years,460
LEEDON PARK,0 - 4 years,300
SWISS CLUB,0 - 4 years,240
ULU PANDAN,0 - 4 years,400
CENTRAL WATER CATCHMENT,0 - 4 years,-
CHANGI AIRPORT,0 - 4 years,-
CHANGI POINT,0 - 4 years,10
CHANGI WEST,0 - 4 years,120
CHANGI BAY,0 - 4 years,-
CHOA CHU KANG CENTRAL,0 - 4 years,820
CHOA CHU KANG NORTH,0 - 4 years,850
KEAT HONG,0 - 4 years,3540
PENG SIANG,0 - 4 years,1660
TECK WHYE,0 - 4 years,760
YEW TEE,0 - 4 years,1360
CLEMENTI CENTRAL,0 - 4 years,480
CLEMENTI NORTH,0 - 4 years,1390
CLEMENTI WEST,0 - 4 years,480
CLEMENTI WOODS,0 - 4 years,680
FABER,0 - 4 years,270
PANDAN,0 - 4 years,-
SUNSET WAY,0 - 4 years,170
TOH TUCK,0 - 4 years,-
WEST COAST,0 - 4 years,290
ANSON,0 - 4 years,-
BAYFRONT SUBZONE,0 - 4 years,-
BUGIS,0 - 4 years,20
CECIL,0 - 4 years,10
CENTRAL SUBZONE,0 - 4 years,40
CITY HALL,0 - 4 years,-
CLIFFORD PIER,0 - 4 years,-
MARINA CENTRE,0 - 4 years,-
MAXWELL,0 - 4 years,-
NICOLL,0 - 4 years,10
PHILLIP,0 - 4 years,-
RAFFLES PLACE,0 - 4 years,-
TANJONG PAGAR,0 - 4 years,20
ALJUNIED,0 - 4 years,1250
GEYLANG EAST,0 - 4 years,1100
KALLANG WAY,0 - 4 years,-
KAMPONG UBI,0 - 4 years,400
MACPHERSON,0 - 4 years,1210
DEFU INDUSTRIAL PARK,0 - 4 years,-
HOUGANG CENTRAL,0 - 4 years,130
HOUGANG EAST,0 - 4 years,1360
HOUGANG WEST,0 - 4 years,1330
KANGKAR,0 - 4 years,1760
KOVAN,0 - 4 years,900
LORONG AH SOO,0 - 4 years,950
LORONG HALUS,0 - 4 years,-
